Date,Total,Name,Company
2024-10-01 00:00:00,200.0,Software,Action Facilities Management
2024-10-01 00:00:00,750.0,Software,Action Facilities Management
2024-10-01 00:00:00,100.0,Software,Action Facilities Management
2025-02-01 00:00:00,1000.0,Software,Advantage Valley
2025-02-01 00:00:00,100.0,Software,Advantage Valley
2025-02-01 00:00:00,600.0,Software,Advantage Valley
2025-02-01 00:00:00,100.0,Software,Advantage Valley
2025-02-01 00:00:00,1000.0,Software,Advantage Valley
2025-02-01 00:00:00,100.0,Software,Advantage Valley
2025-02-01 00:00:00,600.0,Software,Advantage Valley
2025-02-01 00:00:00,100.0,Software,Advantage Valley
